lon,lat,jjii
100.795,20.3398,0324
101.202,20.3799,0325
101.609,20.4182,0326
102.017,20.4545,0327
102.425,20.4888,0328
102.834,20.5213,0329
103.242,20.5517,0330
103.651,20.5803,0331
104.061,20.6068,0332
104.47,20.6315,0333
104.88,20.6541,0334
105.29,20.6748,0335
105.701,20.6936,0336
106.111,20.7103,0337
106.522,20.7251,0338
106.933,20.7379,0339
107.344,20.7488,0340
107.755,20.7577,0341
108.166,20.7646,0342
108.577,20.7696,0343
108.989,20.7725,0344
109.4,20.7735,0345
109.811,20.7725,0346
110.223,20.7696,0347
110.634,20.7646,0348
111.045,20.7577,0349
111.456,20.7488,0350
111.867,20.7379,0351
112.278,20.7251,0352
112.689,20.7103,0353
113.099,20.6936,0354
113.51,20.6748,0355
113.92,20.6541,0356
114.33,20.6315,0357
114.739,20.6068,0358
115.149,20.5803,0359
115.558,20.5517,0360
115.966,20.5213,0361
116.375,20.4888,0362
116.783,20.4545,0363
117.19,20.4182,0364
117.598,20.3799,0365
118.005,20.3398,0366
118.411,20.2977,0367
118.817,20.2537,0368
119.222,20.2078,0369
119.627,20.1599,0370
120.032,20.1102,0371
120.435,20.0586,0372
120.839,20.005,0373
121.241,19.9496,0374
121.643,19.8923,0375
122.045,19.8332,0376
122.446,19.7721,0377
122.846,19.7093,0378
123.245,19.6445,0379
123.644,19.578,0380
124.042,19.5095,0381
124.44,19.4393,0382
124.836,19.3672,0383
125.232,19.2934,0384
125.627,19.2177,0385
126.021,19.1402,0386
126.415,19.061,0387
126.807,18.9799,0388
127.199,18.8971,0389
127.59,18.8125,0390
91.1192,19.1826,0400
91.5119,19.2678,0401
91.9055,19.3512,0402
92.2999,19.4329,0403
92.6953,19.5127,0404
93.0914,19.5908,0405
93.4883,19.6671,0406
93.886,19.7415,0407
94.2845,19.8141,0408
94.6838,19.8849,0409
95.0838,19.9538,0410
95.4846,20.0209,0411
95.886,20.0861,0412
96.2881,20.1495,0413
96.6909,20.211,0414
97.0943,20.2706,0415
97.4984,20.3283,0416
97.9031,20.3842,0417
98.3084,20.4381,0418
98.7142,20.4902,0419
99.1206,20.5403,0420
99.5276,20.5885,0421
99.935,20.6347,0422
100.343,20.6791,0423
100.751,20.7215,0424
101.16,20.762,0425
101.57,20.8005,0426
101.979,20.8371,0427
102.389,20.8717,0428
102.8,20.9044,0429
103.211,20.9351,0430
103.622,20.9639,0431
104.033,20.9906,0432
104.445,21.0154,0433
104.857,21.0383,0434
105.269,21.0591,0435
105.682,21.078,0436
106.094,21.0949,0437
106.507,21.1098,0438
106.92,21.1228,0439
107.333,21.1337,0440
107.746,21.1427,0441
108.16,21.1496,0442
108.573,21.1546,0443
108.987,21.1576,0444
109.4,21.1586,0445
109.813,21.1576,0446
110.227,21.1546,0447
110.64,21.1496,0448
111.054,21.1427,0449
111.467,21.1337,0450
111.88,21.1228,0451
112.293,21.1098,0452
112.706,21.0949,0453
113.118,21.078,0454
113.531,21.0591,0455
113.943,21.0383,0456
114.355,21.0154,0457
114.767,20.9906,0458
115.178,20.9639,0459
115.589,20.9351,0460
116.0,20.9044,0461
116.411,20.8717,0462
116.821,20.8371,0463
117.23,20.8005,0464
117.64,20.762,0465
118.049,20.7215,0466
118.457,20.6791,0467
118.865,20.6347,0468
119.272,20.5885,0469
119.679,20.5403,0470
120.086,20.4902,0471
120.492,20.4381,0472
120.897,20.3842,0473
121.302,20.3283,0474
121.706,20.2706,0475
122.109,20.211,0476
122.512,20.1495,0477
122.914,20.0861,0478
123.315,20.0209,0479
123.716,19.9538,0480
124.116,19.8849,0481
124.515,19.8141,0482
124.914,19.7415,0483
125.312,19.6671,0484
125.709,19.5908,0485
126.105,19.5127,0486
126.5,19.4329,0487
126.895,19.3512,0488
127.288,19.2678,0489
127.681,19.1826,0490
91.0276,19.5535,0500
91.4221,19.6394,0501
91.8176,19.7234,0502
92.2139,19.8057,0503
92.6111,19.8862,0504
93.0091,19.9648,0505
93.4079,20.0417,0506
93.8075,20.1167,0507
94.2079,20.1898,0508
94.6091,20.2612,0509
95.0111,20.3306,0510
95.4138,20.3982,0511
95.8172,20.464,0512
96.2213,20.5278,0513
96.626,20.5898,0514
97.0315,20.6498,0515
97.4376,20.708,0516
97.8442,20.7643,0517
98.2515,20.8186,0518
98.6594,20.871,0519
99.0679,20.9216,0520
99.4768,20.9701,0521
99.8864,21.0168,0522
100.296,21.0614,0523
100.707,21.1042,0524
101.118,21.145,0525
101.529,21.1838,0526
101.941,21.2207,0527
102.353,21.2556,0528
102.766,21.2885,0529
103.179,21.3194,0530
103.592,21.3484,0531
104.005,21.3754,0532
104.419,21.4004,0533
104.833,21.4234,0534
105.248,21.4444,0535
105.662,21.4635,0536
106.077,21.4805,0537
106.492,21.4955,0538
106.907,21.5086,0539
107.323,21.5196,0540
107.738,21.5286,0541
108.153,21.5356,0542
108.569,21.5406,0543
108.984,21.5436,0544
109.4,21.5447,0545
109.816,21.5436,0546
110.231,21.5406,0547
110.647,21.5356,0548
111.062,21.5286,0549
111.478,21.5196,0550
